x,y,for_cover_km2
4495349.2981,2664313.2586,4.458
4495349.2981,2659313.2586,9.245
4495349.2981,2654313.2586,3.952
4495349.2981,2649313.2586,13.998
4495349.2981,2644313.2586,4.289
4495349.2981,2639313.2586,9.919
4495349.2981,2634313.2586,0.935
4500349.2981,2739313.2586,0.016
4500349.2981,2734313.2586,11.528
4500349.2981,2729313.2586,21.81
4500349.2981,2724313.2586,21.481
4500349.2981,2719313.2586,12.531
4500349.2981,2714313.2586,17.082
4500349.2981,2709313.2586,13.45
4500349.2981,2704313.2586,16.374
4500349.2981,2699313.2586,17.124
4500349.2981,2694313.2586,8.764
4500349.2981,2674313.2586,0.008
4500349.2981,2669313.2586,0
4500349.2981,2664313.2586,3.009
4500349.2981,2659313.2586,13.779
4500349.2981,2654313.2586,1.846
4500349.2981,2649313.2586,14.537
4500349.2981,2644313.2586,0.346
4500349.2981,2639313.2586,12.034
4500349.2981,2634313.2586,12.422
4500349.2981,2629313.2586,8.149
4505349.2981,2734313.2586,0.784
4505349.2981,2729313.2586,14.866
4505349.2981,2724313.2586,19.989
4505349.2981,2719313.2586,18.203
4505349.2981,2714313.2586,17.773
4505349.2981,2709313.2586,12.262
4505349.2981,2704313.2586,11.781
4505349.2981,2699313.2586,5.056
4505349.2981,2694313.2586,0.008
4505349.2981,2679313.2586,0
4505349.2981,2674313.2586,2.006
4505349.2981,2669313.2586,0.017
4505349.2981,2664313.2586,2.933
4505349.2981,2659313.2586,20.192
4505349.2981,2654313.2586,7.854
4505349.2981,2649313.2586,11.225
4505349.2981,2644313.2586,3.851
4505349.2981,2639313.2586,12.978
4505349.2981,2634313.2586,18.81
4505349.2981,2629313.2586,19.231
4505349.2981,2624313.2586,0.472
4510349.2981,2729313.2586,11.646
4510349.2981,2724313.2586,21.658
4510349.2981,2719313.2586,20.495
4510349.2981,2714313.2586,16.172
4510349.2981,2709313.2586,16.568
4510349.2981,2704313.2586,4.686
4510349.2981,2679313.2586,0
4510349.2981,2674313.2586,1.601
